Frame number,Stellar Flux
1,1612.7744897842986
2,1579.1597697518348
3,1552.7972106203492
4,1573.3278796984114
5,1547.9625579981416
6,1563.5487844948627
7,1556.1871174136329
8,1580.1844416931472
9,1547.5051123600447
10,1573.753794325015
11,1571.8727836515384
12,1579.1459372564423
13,1568.5875298052224
14,1584.5220192099966
15,1561.9346204147523
16,1566.2543826607291
17,1573.3932296689438
18,1553.4101846314288
19,1583.4973247403095
20,1561.4495476250106
21,1566.6607594314764
22,1571.3922514487474
23,1563.0966218302365
24,1558.6290448224036
25,1582.589648151248
26,1566.9402013215615
27,1564.2547194245935
28,1554.2426612977649
29,1550.5689078738749
30,1591.1483346872121
31,1593.2644002909815
32,1569.6823899424774
33,1571.3688393194327
34,1558.4039809691026
35,1569.4334889518007
36,1567.2628994644804
37,1552.1484461894167
38,1542.7953841433127
39,1547.584191189522
40,1574.1789764644668
41,1561.5066332845015
42,1572.2908961736096
43,1553.3230043673511
44,1581.0752648413554
45,1582.1751553389581
46,1559.8200786563054
47,1563.4949805070696
48,1539.3509240793067
49,1574.6732855290347
50,1559.0784812890645
51,1561.1503629697165
52,1584.5162950823928
53,1565.0032709751765
54,1575.7719894974664
55,1578.7476234362643
56,1573.5649934644791
57,1564.0060287404463
58,1588.6109577375942
59,1564.3374623615193
60,1587.1192645425313
61,1575.884300616709
62,1556.943487106234
63,1548.6112417559095
64,1566.0641022486341
