Frame number,Stellar Flux
1,1595.0112759565736
2,1548.582669375646
3,1566.1172760164773
4,1575.1510021126471
5,1554.6602769664114
6,1573.5049210681507
7,1582.9724324525248
8,1569.4774505080941
9,1567.7356082822275
10,1562.6579832914379
11,1581.1812122905501
12,1554.081164924731
13,1568.4132873095859
14,1576.6173244966906
15,1582.2283692677722
16,1560.0461274115823
17,1573.9152748591025
18,1543.504151055713
19,1575.1395925640113
20,1551.0792992240006
21,1552.7384736738538
22,1563.2395235701022
23,1573.8184493460783
24,1562.9610957934929
25,1583.852921086589
26,1566.77617035044
27,1565.1199478820745
28,1559.1831153436053
29,1567.7546306881143
30,1548.4182980997482
31,1553.5203894811373
32,1569.963894963515
33,1571.2724827748234
34,1557.4974550858744
35,1574.0427481418571
36,1551.1824839893718
37,1553.7949071716464
38,1564.8389895476207
39,1580.6759781541775
40,1563.3663079897663
41,1556.7361891765067
42,1579.8772577559757
43,1568.1473150143233
44,1575.5082259800236
45,1564.3760973382696
46,1582.8512443635759
47,1542.0379388000788
48,1557.6027642648771
49,1580.805642950819
50,1584.8086516777646
51,1586.2852057094137
52,1571.8683766093927
53,1587.9723501302158
54,1567.4603344915613
55,1567.807457430946
56,1567.1325416781106
57,1557.6279962179353
58,1591.9150681159429
59,1570.2777855456341
60,1576.4728137762811
61,1559.500222272176
62,1562.3328397384648
63,1567.6726453366055
64,1592.7102023171938
