Frame number,Stellar Flux
1,1598.8100991181486
2,1573.0012547129868
3,1563.5677078180781
4,1574.5500095415161
5,1576.5067634692832
6,1573.6836481137161
7,1569.3567509283876
8,1563.992543827399
9,1592.5668728373053
10,1550.1701811816845
11,1550.7418914781938
12,1545.9168124105031
13,1567.5462846366224
14,1576.0517668516018
15,1580.5627264440348
16,1560.4216815493962
17,1568.5530275502133
18,1579.0412658888131
19,1580.3250369607995
20,1595.1366228525942
21,1568.3533170787941
22,1550.1553872267539
23,1571.5133604030566
24,nan
25,1580.9009558373857
26,1577.1093829961067
27,1556.34307677021
28,1551.9348402813484
29,1570.3663155617685
30,1567.2717500865515
31,1571.1811819396125
32,1568.0730195899291
33,1578.6788963609263
34,1564.2805602100991
35,1571.7280879604862
36,1576.6784418516438
37,1547.1525796963685
38,1575.4538943135778
39,1586.1006563015574
40,1568.1489979440489
41,1569.9278933257588
42,1576.5918436337258
43,1561.108404143612
44,1563.9992394510311
45,1570.2016923334224
46,1571.363026458672
47,1577.1268234289646
48,1565.8646404414185
49,1585.6560695084195
50,1562.0414240475627
51,1581.2388361206476
52,1585.8896778672547
53,1561.5994575820023
54,1574.6425070719934
55,1554.5427736838551
56,1575.8365640276629
57,1578.4068205074157
58,1591.0793844683976
59,1568.6518190524771
60,1538.5102356400209
61,1569.5597562477567
62,1555.5978333955288
63,1576.7383764916365
64,1586.0516267684256
