Frame number,Stellar Flux
1,1590.6335250424922
2,1579.2029708579573
3,1577.2081057392793
4,1560.7344100055727
5,1568.7344710917562
6,1574.5512392081857
7,1565.8878300388631
8,1557.3644214421104
9,1573.3332105088202
10,1575.977733750012
11,1568.740112267657
12,1564.5884730791875
13,1582.5856815647132
14,1568.7003096463718
15,1585.6154721233811
16,1569.7572853901302
17,1576.42289255889
18,1569.0287877077283
19,1565.3490019223902
20,1562.6566815662402
21,1581.9293653210948
22,1578.5733751943235
23,1561.9942517590123
24,1566.1937327898777
25,1563.9292665163848
26,1568.5795194188356
27,1580.8831987707092
28,1580.8643748293041
29,1574.0714580065221
30,1570.6576948823617
31,1561.099477910089
32,1567.0105228207469
33,1562.1301921583295
34,1572.2831165408688
35,1556.820699228382
36,1572.2864558100737
37,1547.6728826513711
38,1564.9318152132057
39,1579.0864785650995
40,1560.875180273571
41,1585.5410476547634
42,1587.1502549907209
43,1548.2154362058161
44,1575.1339454077313
45,1576.0291054707645
46,1586.0110971332233
47,1571.3950853406402
48,1579.2656820631985
49,1546.3732221079285
50,1571.8617723070565
51,1564.8955053158045
52,1566.3965385657732
53,1562.9073858189481
54,1585.2148213023722
55,1556.3129941416867
56,1554.2222584399176
57,1556.8959669008445
58,1583.7088638002001
59,1556.4973651051803
60,1572.3983474620256
61,1569.5839271034772
62,1565.4210361585299
63,1577.7758911190654
64,1583.3625785700913
