Frame number,Stellar Flux
1,1596.987629798145
2,1563.9421022392135
3,1564.9471133465165
4,1563.7741780968922
5,1567.7267792752568
6,1559.2162695234151
7,1566.8128418947008
8,1582.7751325033739
9,1576.9321885913084
10,1566.6377061938624
11,1551.6395412845061
12,1573.526701961154
13,1567.5091949743387
14,1579.279672816353
15,1565.1082189207048
16,1570.1400527765024
17,1568.8804018342739
18,1556.5718768811178
19,1573.600067264035
20,1574.1165287748358
21,1567.6106218086807
22,1582.3458584986968
23,1571.3921516496214
24,1558.3551912649421
25,1565.2442495149796
26,1572.2667155819217
27,1577.1582654576237
28,1570.6950467061674
29,1564.9583099131382
30,1580.8439513793105
31,1562.0316205139527
32,1577.7899096927272
33,1566.9801370768319
34,1574.7906145629722
35,1575.5066015908894
36,1551.571488635466
37,1568.4549758900637
38,1583.5542161440246
39,1573.0327711275825
40,1572.214434539984
41,1580.2882408688497
42,1578.4664293645574
43,1586.0494521939218
44,1588.8650371420645
45,1579.9545068209461
46,1588.6385636275122
47,1550.1936407931721
48,1572.3044694068444
49,1562.6422655589076
50,1573.1473170343838
51,1564.1966862538204
52,1573.5744570109127
53,1569.2189067224672
54,1575.3450940253147
55,1568.3661780677696
56,1566.9388911590613
57,1579.9344649389984
58,1584.185433243835
59,1567.4973458605402
60,1566.0711176767106
61,1556.6842919308901
62,1581.3547332980286
63,1569.4356753590068
64,1566.4424526054179
