Frame number,Stellar Flux
1,1581.807853003663
2,1573.2712675967221
3,1557.4054695184743
4,1589.1923768808588
5,1570.819759369464
6,1566.0916801625428
7,1574.3240396724502
8,1562.6418909023405
9,1575.4863407681712
10,1583.7334032744334
11,1557.5653054180864
12,1567.050328036762
13,1570.5901119275529
14,1578.4051314505209
15,1574.9258245125704
16,1547.4244923756451
17,1564.6843102212151
18,1558.8090670014783
19,1561.0877691241531
20,1577.868491661435
21,1561.0567010486034
22,1574.1742699255271
23,1584.1125985725473
24,1589.2791498560518
25,1565.0713228497059
26,1566.9747768810407
27,1574.4028121872284
28,1564.7949320026196
29,1565.3146027933208
30,1589.5116884014578
31,1597.229203303305
32,1547.1834582719187
33,1557.2424052128722
34,1576.1015850137594
35,1571.9879593183225
36,1575.8391052359761
37,1581.5698121951086
38,1576.0381958067803
39,1570.5972256298153
40,1565.2709239688354
41,1566.2359757815329
42,1557.9550905786787
43,1567.7629777095228
44,1554.0492742619772
45,1585.5140702741396
46,1566.7879615345521
47,1570.4522521112947
48,1550.0893499259994
49,1562.8249014370613
50,1564.3182082697947
51,1562.4904940150341
52,1564.4472563366967
53,1568.8226883318055
54,1574.7014716300482
55,1572.3213599438666
56,1552.9332088683157
57,1563.898596763428
58,1585.4531785106972
59,1569.6433516502709
60,1572.3410617400928
61,1576.7186733668027
62,1575.6435686204391
63,1572.0395561480816
64,1558.7036452093685
