Frame number,Stellar Flux
1,1571.0018008837026
2,1587.7608182085685
3,1560.9584533227824
4,1580.9272784812433
5,1567.1830117362656
6,1573.2071065525697
7,1582.0439490244271
8,1566.8242577826461
9,1585.4552140169531
10,1562.9861369335399
11,1579.1049285504889
12,1559.2641216879579
13,1576.2986710472444
14,1581.646008605836
15,1568.2202399021585
16,1563.5415908780237
17,1559.013862793845
18,1577.6001035347399
19,1562.5877955344051
20,1574.4003747023703
21,1562.6534480230669
22,1572.5704718065751
23,1580.9529567684069
24,1570.6154640155112
25,1560.332235388682
26,1570.7421408670978
27,1575.9979001181716
28,1560.0188775659226
29,1561.1358113346687
30,1579.3739121723925
31,1543.5774718179839
32,1578.1427305088694
33,1562.6944759165158
34,1570.3630100298726
35,1574.4617916748352
36,1567.0097371449333
37,1571.2870121514934
38,1576.6135635550154
39,1587.8316673777349
40,1585.6440358430614
41,1568.1525974955898
42,1565.484865680248
43,1577.9881055975868
44,1562.7503474680721
45,1569.4425128948835
46,1558.1766473280386
47,1558.1085775161987
48,1556.5576186709668
49,1579.7345023172616
50,1564.8743948323734
51,1567.0908216978924
52,1567.2466740464592
53,1565.1509980144008
54,1571.6040038045421
55,1556.434131819185
56,1569.8707963735881
57,1576.4577617886371
58,1587.7150888324782
59,1555.5081887270671
60,1539.3803926453975
61,1562.1323880271354
62,1553.6899094936921
63,1585.2811547220399
64,1560.9059609072303
