Frame number,Stellar Flux
1,1583.0193974917834
2,1579.7855972304553
3,1569.9180708559365
4,1567.3137871239785
5,1561.4653730724406
6,1570.1287925045015
7,1570.5340335326807
8,1566.3980938673001
9,1564.2450905746275
10,1586.3976107627618
11,1555.4383380596964
12,1571.8653763729185
13,1564.660659271238
14,1572.8634316107841
15,1555.7196963238948
16,1570.6767253583034
17,1561.7057123645068
18,1563.5367495147398
19,1573.6578672096309
20,1571.0083976777987
21,1578.3170969387825
22,1579.3810723572647
23,1553.2166255473844
24,1590.9228798671522
25,1583.0358690788876
26,1581.8690327735133
27,1567.0586948924031
28,1575.7667506677803
29,1578.8791745307915
30,1568.5342688532169
31,1566.2904766931238
32,1578.6531091629934
33,1544.0239812046439
34,1579.2284414124979
35,1559.579665772
36,1591.7150009881921
37,1567.479451443656
38,1571.5716702842715
39,1558.3423684775896
40,1561.2135268760062
41,1567.2386923153158
42,1576.3127260577196
43,1568.2911885306521
44,1551.1559650672166
45,1558.2645180954796
46,1571.3432121583253
47,1569.3104841204006
48,1560.1872246732496
49,1592.2655388585497
50,1568.3286631493856
51,1562.7732533996609
52,1578.046377752117
53,1560.6457603682352
54,1554.7181663581398
55,1572.2104459525992
56,1588.5980772395571
57,1577.0670857678817
58,1592.2132882893961
59,1584.6480459696943
60,1573.9483154191551
61,1577.4649991539704
62,1575.9221810673498
63,1563.5650171720786
64,1581.1805372436856
