Frame number,Stellar Flux
1,1605.8981279685217
2,1582.544312746393
3,1563.1529221316714
4,1560.3309518004846
5,1567.067308383299
6,1558.8075552979951
7,1566.4135104558704
8,1566.3623123529378
9,1555.3031729180814
10,1570.5182747274719
11,1573.5208856637691
12,1568.7407546986324
13,1578.8055142520714
14,1557.8714805012164
15,1571.0464301010791
16,1565.4903146903298
17,1575.043169140693
18,1559.1665442428787
19,1568.4928979837016
20,1573.6535934461929
21,1566.4391701201362
22,1569.601122308145
23,1569.6990197786545
24,1552.9647364846846
25,1571.2616518897773
26,1569.4294356631115
27,1551.0498982710901
28,1550.6949719161291
29,1572.3748469646011
30,1542.6201132351848
31,1567.9745953300728
32,1558.9572526253312
33,1569.3751419209202
34,1582.5083566511194
35,1567.3722367919102
36,1570.3976410484863
37,1556.0041192167218
38,1547.6677612897874
39,1584.0674588934146
40,1579.5688503748574
41,1568.9658043721586
42,1559.8810907145735
43,1579.3191877856425
44,1566.906514863653
45,1572.6316869024863
46,1566.920581816777
47,1570.8140213894728
48,1572.0650826862316
49,1561.1090884109769
50,1568.7881190490748
51,1579.3463999108353
52,1560.5486191010827
53,1572.0475219214447
54,1576.8721660739409
55,1575.4274770175591
56,1571.4707426605671
57,1559.1540618217327
58,1600.6403261890168
59,1569.7900372437473
60,1577.2889689609669
61,1556.9354022404075
62,1565.7006206641415
63,1574.1834677678987
64,1569.7867540242014
