Frame number,Stellar Flux
1,1593.2378159140087
2,1584.5426996043011
3,1550.0855291915125
4,1565.231483274735
5,1555.2674453643199
6,1577.0181596888376
7,1552.4422325554167
8,1574.0543009104817
9,1562.683176657323
10,1544.7525707710813
11,1563.9744465045135
12,1556.6972909881947
13,1559.6878576559525
14,1559.5985658464633
15,1570.0064528943744
16,1564.9087017619972
17,1556.8697728320942
18,1550.5705395040725
19,1560.0447200163524
20,1566.5704184392475
21,1564.2743933804848
22,1571.1985718591
23,1556.9143916201745
24,1571.572058095011
25,1561.2366521326919
26,1583.9066915277867
27,1578.6328683898755
28,1570.8841447436018
29,1580.4074165105824
30,1556.8391872684281
31,1586.9284403463264
32,1566.8548860753815
33,1569.2694182670321
34,1570.2744430123826
35,1562.69715805747
36,1565.4503687487659
37,1568.0648614177112
38,1546.3097804495885
39,1560.2914666908985
40,1578.6173503949331
41,1574.6783179176157
42,1550.9480744994323
43,1580.6072704221572
44,1557.068892274217
45,1565.7431754168949
46,1546.975835485588
47,1580.1290293550526
48,1574.9297769937516
49,1577.3492485865443
50,1582.7936570380771
51,1571.1092547831099
52,1578.0259990110296
53,1570.1332278046389
54,1563.0769931839902
55,1567.754405320389
56,1548.0274758482135
57,1561.9475893945216
58,1596.163734101322
59,1565.7467732750922
60,1569.4375917572736
61,1592.8731569097065
62,1602.5580515621846
63,1571.2292180874379
64,1549.7365567246864
