Frame number,Stellar Flux
1,1589.4507413985395
2,1552.1229119553072
3,1591.1475337480674
4,1583.3797623443922
5,1584.1264720620625
6,1574.9122184232613
7,1573.1950338506247
8,1569.5739994400883
9,1577.9689196792567
10,1572.1160262377009
11,1586.5553335437737
12,1571.4457626262681
13,1556.9476909523933
14,1576.6019382657491
15,1573.5262379143751
16,1564.7055273498008
17,1569.0769979672416
18,1571.4459887363721
19,1578.1068964810436
20,1562.0201805384963
21,1561.8256949912286
22,1562.0967314323839
23,1541.9481562020981
24,1548.4897989510025
25,1552.6841564746815
26,1573.0956685248709
27,1583.0517331690978
28,1550.112256979796
29,1569.3349487864123
30,1567.675504983592
31,1564.5122187697737
32,1575.335505188443
33,1578.6702286158409
34,1582.199497009258
35,1566.3855569096238
36,1571.4583523246263
37,1555.0481038036187
38,1574.8584073449779
39,1559.9793092138461
40,1564.1061941001681
41,1590.7904200606904
42,1570.6964176147685
43,1564.4727817498701
44,1558.8989459951715
45,1559.7851299182921
46,1563.655493119838
47,1565.6012810140746
48,1569.4700481933978
49,1566.7167320064671
50,1574.9971784104289
51,1578.6393731101398
52,1554.2286641764861
53,1551.975678714439
54,1556.6672226318708
55,1565.6397524831955
56,1563.3134942381575
57,1572.1847801206316
58,1587.4988352691339
59,1558.2879860514884
60,1563.7713715924574
61,1566.2966462530912
62,1586.4310524493483
63,1589.7106134199344
64,1557.7411927129656
