Frame number,Stellar Flux
1,1603.9703479935301
2,1569.0651154748434
3,1566.1084431977115
4,1545.4791160495015
5,1567.7748545033485
6,1571.4589403260773
7,1553.0182420885096
8,1568.6737604323603
9,1565.2016509717118
10,1565.1703165025938
11,1563.9520269463214
12,1561.4939127401879
13,1568.3674319782876
14,1562.6990051403855
15,1564.6371205465905
16,1563.4360467520892
17,1577.0767590802743
18,1584.0216309156444
19,1584.9127138594786
20,1572.3770480398384
21,1578.1087479310668
22,1564.8086697822837
23,1579.6826953519046
24,1557.651402477969
25,1562.8953605136505
26,1562.3474622777733
27,1549.2248984054033
28,1577.945734924645
29,1576.5684019822115
30,1571.8497468273331
31,1559.4465742190425
32,1544.6788089988988
33,1564.8961210728476
34,1555.762380703932
35,1569.8448537167042
36,1571.6988026875238
37,1569.1037771934778
38,1570.5939977677044
39,1574.9073992889255
40,1553.3875411607778
41,1571.1626658814118
42,1568.6927898038844
43,1579.8484528665851
44,1569.3938578584432
45,nan
46,1576.4814782941526
47,1582.4962056038701
48,1564.9269358708336
49,1569.7766060679621
50,1567.2675872997868
51,1565.1048910641887
52,1559.3570493266438
53,1580.679919599484
54,1558.4729731558209
55,1559.0631029246858
56,1559.1383569667933
57,1555.0036249661491
58,1587.8605044440958
59,1563.0464610242097
60,1556.0835217707333
61,1577.9649317074677
62,1573.8259492107852
63,1570.8547509973839
64,1557.5162167145495
