Frame number,Stellar Flux
1,1589.5176260067244
2,1580.7519735459491
3,1581.2183061476678
4,1577.9583934481368
5,1575.9077779252011
6,1563.8069421253208
7,1567.3825266633251
8,1570.8510161210106
9,1566.1309789980551
10,1571.0337723895675
11,1587.9947756703705
12,1551.3016991553388
13,1571.5636308831847
14,1571.9939956003745
15,1570.1895283932256
16,1563.1216706030621
17,1561.6751494765449
18,1548.4573607825721
19,1571.1257660602971
20,1566.8866565844201
21,1573.3971618215851
22,1552.0905116537583
23,1566.1707953580192
24,1576.6817983417338
25,1563.613195766882
26,1550.3171638867516
27,1572.423200312337
28,1567.5034869428896
29,1573.9464884815229
30,1583.0422853093471
31,1591.2292495077677
32,1547.1857395528516
33,1567.6951453114964
34,1554.422630922671
35,1572.0388535352731
36,1572.6434449068911
37,1559.6589508512675
38,1570.2150340639764
39,1553.4403790786196
40,1574.2204780383579
41,1567.7293510322509
42,1555.6751799676961
43,1566.2001350885264
44,1561.5968301845701
45,1552.6960474845457
46,1558.7074539733792
47,1573.8652404942134
48,1564.7523519216502
49,1564.3653777099494
50,1555.1948186145885
51,1558.6427077588692
52,1568.4902993696414
53,1559.1868997437709
54,1584.494293324879
55,1560.6222148138395
56,1570.2712626581872
57,1581.8810112310948
58,1607.9040888514091
59,1570.4641579802403
60,1579.3397185023668
61,1564.7575827877629
62,1581.4011040811299
63,1567.5900983660488
64,1560.9417358171386
