Frame number,Stellar Flux
1,1578.7559797309862
2,1573.8245502488464
3,1554.2334391769923
4,1570.3815278945679
5,1551.478102396813
6,1575.9467804853678
7,1569.4814127226459
8,1564.8943191599874
9,1564.3653968206859
10,1565.7426592685051
11,1566.3455719248857
12,1555.7781818680573
13,1546.1079624764445
14,1567.834817886192
15,1557.8632537517251
16,1577.6418027040515
17,1565.6421363502855
18,1555.6738946173891
19,1561.7900327865716
20,1549.8612600153465
21,1568.0170297948105
22,1595.1087881704684
23,1564.0697706838828
24,1594.6810761930158
25,1573.716058609838
26,1561.8098210401424
27,1563.7968143454402
28,1556.4992136200437
29,1541.8035017916168
30,1576.7996845463497
31,1592.4351009337429
32,1579.9946438963025
33,1570.6400398623084
34,1571.0248286326935
35,1539.5615171532224
36,1537.1716742846602
37,1559.4594256220771
38,1550.6566118740252
39,1576.8927863269007
40,1567.1600883428903
41,1562.0185178810843
42,1570.2542345020047
43,1564.7357020297738
44,1566.7486891703311
45,1574.0291864717494
46,1569.0108959385068
47,1565.5204099144762
48,1563.2049640108939
49,1587.5883561245337
50,1582.7757106492056
51,1579.0913951003604
52,1577.1778314814285
53,1560.6271069700658
54,1587.009126218439
55,1589.0494575392872
56,1566.939085442398
57,1557.057086662159
58,1598.900005532696
59,1570.0917424574332
60,1564.3945522750105
61,1573.8226043735885
62,1567.1741390651423
63,1584.5785097369906
64,1566.6400035798699
